
* 若有误伤，接受背调，还你清白
潘碧灵 ｛V+｝
王昆 ｛V+｝
甘华田 ｛HI5+｝
巩富文 ｛V+｝
刘俊彩 ｛X6+｝
花亚伟 ｛V+｝
李明 ｛HI6+｝
杨金龙 ｛V+｝
但彦铮 ｛V+｝
段青英 ｛V+｝
晏波 ｛V+｝
郭毅 ｛HI5+｝｛V+｝
蒋巍 ｛V+｝
丁时勇 ｛HI5+｝
王艳 ｛HI6+｝
王丽萍 ｛V+｝
卢国懿 ｛X5+｝
司徒国海 ｛HI5+｝
张晨 ｛V+｝
张志红 ｛HI5+｝
张柏青 ｛X5+｝
张恩迪 ｛X5+｝
侯茂丰 ｛X7+｝
徐旭东 ｛V+｝
高秀梅 ｛X6+｝
马秀珍 ｛X5+｝
王长平 ｛V+｝
卢柯 ｛X6+｝
朱春云 ｛V+｝
刘涛 ｛V+｝
刘忠范 ｛V+｝
刘政奎 ｛HI5+｝
杜妍 ｛HI5+｝
吴代赦 ｛V+｝
张少康 ｛V+｝
张凤宝 ｛V+｝
张福麟 ｛X5+｝
陈赤平 ｛X5+｝
庞达 ｛X5+｝
单崇新 ｛HI5+｝
钱锋 ｛V+｝
刘艳 ｛HI6+｝
江尔雄 ｛V+｝
苏辉 ｛HI6+｝
吴国华 ｛V+｝
陈子云 ｛HI6+｝
丁彦昕 ｛HI5+｝
马海军 ｛HI5+｝
邓中翰 ｛V+｝
李丹 ｛V+｝
何婧 ｛V+｝
张骁 ｛V+｝
张广东 ｛V+｝
张勉之 ｛X5+｝
周源 ｛HI5+｝
周志华 ｛V+｝
姚力军 ｛V+｝
秦斌 ｛V+｝
聂竹青 ｛HI5+｝
夏宇红 ｛V+｝
席南华 ｛X5+｝
黄宇光 ｛X5+｝
蒋毅 ｛V+｝
蓝逢辉 ｛V+｝
窦刚贵 ｛X5+｝
管云鸿 ｛HI7+｝
于本宏 ｛V+｝
王亚平 ｛X7+｝｛V+｝
朱妍 ｛HI5+｝
刘洪悦 ｛V+｝
张坤 ｛V+｝
张朝晖 ｛X7+｝
陈槐 ｛HI6+｝｛V+｝
林积灿 ｛X6+｝
岳伟 ｛V+｝
祝林芳 ｛HI5+｝
高庆波 ｛HI6+｝
魏新 ｛HI5+｝
马璐 ｛V+｝
王斌 ｛X5+｝
王彤宙 ｛V+｝
叶阳升 ｛V+｝
吕国泉 ｛V+｝
向文波 ｛V+｝
刘争 ｛X6+｝
江毅 ｛V+｝
阮前途 ｛X6+｝
杨杰 ｛HI5+｝
杨宇栋 ｛V+｝
陈建飚 ｛V+｝
林孝发 ｛V+｝
岳建武 ｛HI6+｝
孟振平 ｛HI5+｝
赵俊民 ｛HI6+｝
柯瑞文 ｛V+｝
郭代军 ｛V+｝
黄国 ｛HI6+｝
粟斌 ｛HI5+｝
蔡毅德 ｛HI5+｝｛V+｝
谭旭光 ｛X6+｝
魏地春 ｛V+｝
王芳 ｛HI5+｝
王宜 ｛V+｝
王素君 ｛V+｝
卢红 ｛X6+｝
冯延 ｛HI5+｝
成平 ｛HI5+｝
刘文力 ｛X6+｝
刘文萍 ｛HI5+｝
刘丽坚 ｛X6+｝
刘晓冰 ｛V+｝
刘筱敏 ｛V+｝
苏洵 ｛V+｝
吴海鹰 ｛V+｝
张佐姣 ｛X6+｝
张晓兰 ｛X5+｝｛V+｝
张娣芳 ｛HI5+｝
陈中红 ｛V+｝
苗延红 ｛X6+｝
夏杰 ｛HI5+｝
徐睿霞 ｛V+｝
翁铁慧 ｛X5+｝
高洁 ｛X6+｝
丁佐宏 ｛HI6+｝
王煜 ｛X5+｝
林晓辉 ｛V+｝
刘伟 ｛V+｝
寿子琪 ｛V+｝
李青 ｛X6+｝
李书福 ｛X5+｝
李汉宇 ｛HI5+｝
李连柱 ｛HI5+｝
李维斗 ｛X5+｝
杨佑兴 ｛HI5+｝
肖凯旋 ｛V+｝
张兴海 ｛HI5+｝｛V+｝
邵丹薇 ｛V+｝
赵立新 ｛X5+｝
赵毅武 ｛V+｝
娄杰 ｛X6+｝
姚锦龙 ｛V+｝
黄荣 ｛HI5+｝
景普秋 ｛X5+｝
鲁勇 ｛V+｝
燕瑛 ｛X6+｝
王怀民 ｛X5+｝
王金龙 ｛HI5+｝｛X6+｝
邓铭江 ｛HI6+｝
吕国范 ｛X7+｝
乔杰 ｛V+｝
李仲平 ｛X6+｝
李志强 ｛HI7+｝
张旭 ｛HI6+｝｛V+｝
陆建华 ｛HI7+｝
明炬 ｛V+｝
徐平 ｛V+｝
徐建国 ｛V+｝
廖湘科 ｛X7+｝
魏悦广 ｛V+｝
陈椿 ｛X6+｝
林敏 ｛V+｝
林敏洁 ｛HI5+｝
黄兰茜 ｛X5+｝
曾瀞漪 ｛V+｝
潘裕萍 ｛X5+｝
马萧林 ｛X6+｝
吕涛 ｛HI5+｝
刘明军 ｛HI5+｝
李林 ｛HI5+｝
李兴钰 ｛HI6+｝
柳玲玲 ｛V+｝
徐西鹏 ｛V+｝
曹君利 ｛V+｝
隋军 ｛HI5+｝
舒心 ｛V+｝
谢良志 ｛V+｝
马浩文 ｛X5+｝｛V+｝
王平久 ｛HI5+｝
王黎光 ｛V+｝
田沁鑫 ｛V+｝
任万平 ｛V+｝
许江 ｛X5+｝｛V+｝
李梅 ｛X7+｝
李群 ｛V+｝
李心草 ｛V+｝
李骏虎 ｛HI5+｝
吴行 ｛V+｝
吴文科 ｛X6+｝
邱华栋 ｛V+｝
谷好好 ｛HI5+｝｛V+｝
迟小秋 ｛X5+｝｛V+｝
张宏 ｛V+｝
张继 ｛V+｝
张斌 ｛HI5+｝
陈智林 ｛V+｝
苗洁 ｛HI5+｝｛V+｝
范宗钗 ｛HI5+｝
迪丽娜尔·阿布拉 ｛HI5+｝｛V+｝
林茂 ｛HI5+｝｛X5+｝
郑茜 ｛HI5+｝｛V+｝
赵秀君 ｛X5+｝｛V+｝
赵宝刚 ｛V+｝
姜克美 ｛X5+｝
姚珏 ｛X6+｝｛V+｝
高英坡 ｛HI5+｝｛V+｝
唐延海 ｛V+｝
阎晶明 ｛V+｝
彭家鹏 ｛X6+｝
韩子勇 ｛V+｝
景喜猷 ｛V+｝
傅若清 ｛HI5+｝｛X5+｝
甄子丹 ｛HI9+｝
詹勇 ｛V+｝
霍建起 ｛V+｝
戴斌 ｛X6+｝
王来春 ｛HI5+｝｛X5+｝
方忠 ｛HI7+｝
许瑞明 ｛HI5+｝
李应红 ｛X5+｝｛V+｝
杨长利 ｛V+｝
余晓晖 ｛X5+｝
张新民 ｛V+｝
陆安慧 ｛X5+｝
周群飞 ｛V+｝
屈国欣 ｛V+｝
赵长印 ｛HI5+｝
胡震 ｛V+｝
倪四道 ｛V+｝
徐南平 ｛HI5+｝
高天明 ｛V+｝
席振峰 ｛V+｝
唐长红 ｛X5+｝
容易 ｛V+｝
常凯 ｛V+｝
阎锡蕴 ｛HI5+｝｛V+｝
韩珺礼 ｛V+｝
曾一春 ｛HI5+｝
蔡荣根 ｛V+｝
魏明英 ｛V+｝
马宝成 ｛V+｝
王立平 ｛HI5+｝
王灵桂 ｛V+｝
王学典 ｛V+｝
卢希 ｛V+｝
田培炎 ｛HI5+｝
白少康 ｛X8+｝
毕飞宇 ｛HI5+｝
刘纪明 ｛V+｝
孙学玉 ｛HI5+｝
肖厚发 ｛V+｝
时和兴 ｛HI6+｝
吴向东 ｛X5+｝｛V+｝
余兴安 ｛HI5+｝
张毅 ｛HI5+｝
张广汉 ｛V+｝
张继焦 ｛X6+｝
陈理 ｛HI5+｝｛V+｝
陈松蹊 ｛V+｝
陈星灿 ｛HI5+｝｛V+｝
林文勋 ｛HI5+｝
赵凡 ｛HI5+｝
赵昌华 ｛HI5+｝｛V+｝
贺小荣 ｛HI5+｝
夏春涛 ｛V+｝
曹文泽 ｛V+｝
崔海洋 ｛HI5+｝
戴小明 ｛X5+｝
马珺 ｛V+｝
马永生 ｛V+｝
马军胜 ｛HI5+｝
王伟 ｛HI5+｝
王永礼 ｛X5+｝
王俊寿 ｛HI5+｝
石磊 ｛X7+｝
白涛 ｛V+｝
冯正霖 ｛HI5+｝｛X5+｝
权忠光 ｛V+｝
任德奇 ｛V+｝
刘云峰 ｛HI7+｝
刘永好 ｛HI5+｝
刘新勇 ｛V+｝
江浩然 ｛HI5+｝
杨成长 ｛HI5+｝
吴富林 ｛V+｝
宋曙光 ｛HI5+｝
张勇 ｛V+｝
张少明 ｛V+｝
张春华 ｛X5+｝
张懿宸 ｛V+｝
陈力 ｛V+｝
陈四清 ｛V+｝
陈晓红 ｛X6+｝
范扎根 ｛X6+｝
罗熹 ｛HI6+｝｛V+｝
金李 ｛HI5+｝
赵争平 ｛V+｝
姜万荣 ｛V+｝
柴强 ｛HI6+｝
钱刚 ｛X5+｝
钱文挥 ｛HI5+｝
徐建军 ｛HI8+｝
郭兰峰 ｛X5+｝｛V+｝
郭御风 ｛HI5+｝
黄玉治 ｛HI5+｝
黄喜忠 ｛HI7+｝
阎峰 ｛X5+｝
隋忠诚 ｛HI5+｝
韩谦 ｛X5+｝
韩保江 ｛V+｝
蒲淳 ｛X5+｝
蔡建春 ｛V+｝
霍颖励 ｛V+｝
于学利 ｛V+｝
王传喜 ｛HI5+｝
孔宏智 ｛V+｝
达瓦顿珠 ｛V+｝
廷·巴特尔 ｛HI5+｝
仲志余 ｛V+｝
刘伟平 ｛HI5+｝
刘均刚 ｛HI6+｝
刘焕鑫 ｛V+｝
孙志宏 ｛V+｝
严建兵 ｛V+｝
杜志雄 ｛HI5+｝｛V+｝
李原园 ｛HI6+｝
杨松 ｛V+｝
吴宏耀 ｛V+｝
张卫元 ｛V+｝
张合成 ｛V+｝
张桃林 ｛V+｝
张雷明 ｛X6+｝｛V+｝
林金星 ｛V+｝
单杨 ｛HI5+｝
赵晓燕 ｛X6+｝
胡培松 ｛V+｝
钟登华 ｛V+｝
种康 ｛HI6+｝
侯水生 ｛HI6+｝
柴守玺 ｛X5+｝
郭玮 ｛V+｝
唐俊杰 ｛V+｝
黄丽萍 ｛HI6+｝
黄显良 ｛X7+｝
梁晔 ｛X5+｝
潘元松 ｛HI6+｝｛V+｝
于巧华 ｛HI5+｝
马景林 ｛V+｝
王国仁 ｛HI5+｝｛V+｝
韦军 ｛HI5+｝
龙腾 ｛V+｝
兰臻 ｛V+｝
任少波 ｛V+｝
刘小军 ｛V+｝
刘林芽 ｛X5+｝
孙宝国 ｛V+｝
李孝轩 ｛X8+｝
李丽娟 ｛V+｝
杨华勇 ｛V+｝
汪劲松 ｛V+｝
张玉清 ｛HI6+｝
张敏情 ｛HI5+｝
陈卓禧 ｛V+｝
武利民 ｛HI5+｝｛V+｝
姜亚军 ｛V+｝
姜耀东 ｛V+｝
祝跃飞 ｛HI5+｝
钱家盛 ｛V+｝
倪闽景 ｛HI6+｝
徐礼华 ｛V+｝
郭坤宇 ｛HI7+｝
龚卫娟 ｛V+｝
董洪川 ｛V+｝
韩林海 ｛X6+｝
潘健 ｛V+｝
戴立益 ｛X5+｝
王勇峰 ｛V+｝
王嘉恩 ｛HI5+｝
刘诗颖 ｛HI6+｝｛V+｝
林大辉 ｛HI5+｝
周进强 ｛V+｝
胡文新 ｛V+｝
谢敏豪 ｛HI6+｝
王心富 ｛HI5+｝｛V+｝
王晓红 ｛HI6+｝
卢永雄 ｛X5+｝
刘见明 ｛HI5+｝｛X7+｝
孙业礼 ｛X8+｝
李岩 ｛HI7+｝
吴静怡 ｛V+｝
罗崇雯 ｛HI6+｝
赵剑英 ｛X5+｝
胡孝汉 ｛HI6+｝
黄志坚 ｛X5+｝
韩敬群 ｛V+｝
廖祥忠 ｛HI6+｝
王辰 ｛X5+｝｛V+｝
王坤 ｛V+｝
王岩 ｛X7+｝
王建安 ｛V+｝
王笑频 ｛V+｝
卢联合 ｛HI7+｝｛V+｝
边惠洁 ｛X5+｝
刘泽星 ｛X5+｝
李利 ｛V+｝
李为民 ｛HI5+｝
吴彬 ｛HI5+｝
张勇 ｛V+｝
张洪春 ｛V+｝
陈敏 ｛HI5+｝｛V+｝
周军 ｛X6+｝
赵宏 ｛V+｝
胡盛寿 ｛X5+｝｛V+｝
姚建红 ｛HI5+｝
徐丛剑 ｛HI5+｝｛V+｝
黄伟 ｛V+｝
黄爱龙 ｛V+｝
傅小云 ｛X6+｝
王众一 ｛X5+｝
王茂虎 ｛HI5+｝
户思社 ｛V+｝
刘显忠 ｛HI5+｝
吴恳 ｛V+｝
吴江浩 ｛V+｝
张汉晖 ｛V+｝
陈旭 ｛V+｝
林松添 ｛HI5+｝
郑泽光 ｛V+｝
聂福如 ｛HI5+｝
郭军 ｛V+｝
陶坚 ｛V+｝
颜宝铃 ｛V+｝
魏海生 ｛X5+｝
王平 ｛HI5+｝
邓琳 ｛HI6+｝
龙墨 ｛HI6+｝｛V+｝
齐明亮 ｛V+｝
汤涛 ｛HI5+｝｛V+｝
吴凡 ｛X5+｝
林潞 ｛HI5+｝
费英英 ｛V+｝
夏延军 ｛HI5+｝｛V+｝
唐承沛 ｛V+｝
诺敏 ｛HI5+｝
常正国 ｛HI5+｝
蒋丽英 ｛X5+｝｛V+｝
惠建林 ｛X5+｝
马建华 ｛V+｝
方精云 ｛V+｝
卢铁忠 ｛X10+｝
孙雪涛 ｛HI5+｝
李彬 ｛HI6+｝
李根生 ｛X5+｝
闵庆文 ｛HI5+｝
汪东进 ｛X5+｝
武强 ｛V+｝
岳中明 ｛V+｝
赵松 ｛HI5+｝｛V+｝
赵英民 ｛X6+｝
胡松琴 ｛X8+｝
段旭如 ｛HI5+｝
钱智民 ｛V+｝
黄绵松 ｛HI5+｝｛V+｝
梅钰 ｛HI5+｝
章建华 ｛X7+｝
葛全胜 ｛V+｝
蒋兴伟 ｛V+｝
韩君 ｛X5+｝
韩建华 ｛HI5+｝
傅声雷 ｛HI5+｝
焦念志 ｛V+｝
黎俊东 ｛HI7+｝
马汉成 ｛V+｝
王飚 ｛X5+｝
王红红 ｛V+｝
巴音克西 ｛V+｝
玉克赛克·西加艾提 ｛HI5+｝
甲热·洛桑丹增 ｛V+｝
白玛玉珍 ｛X5+｝
达娃次仁 ｛V+｝
尧斯丹 ｛HI7+｝
刘建波 ｛X5+｝
羊毅 ｛X5+｝
李玉春 ｛X5+｝
李龙熙 ｛HI7+｝
李依娲娜 ｛X6+｝｛V+｝
吴宇红 ｛V+｝
怀利敏 ｛HI5+｝｛V+｝
阿衣木沙·托合塔洪 ｛X7+｝
卓嘎 ｛V+｝
明吉措姆 ｛X6+｝｛V+｝
金花 ｛X5+｝
金宪 ｛V+｝
孟宪明 ｛HI5+｝
赵金 ｛X5+｝
赵坤宇 ｛V+｝
香根·巴登多吉 ｛V+｝
侯桂芬 ｛HI5+｝
娜木拉 ｛V+｝
黄丽云 ｛V+｝
隋青 ｛X5+｝
嘎玛泽登 ｛HI5+｝
熊甜芳 ｛V+｝
滕树静 ｛HI5+｝
心澄法师 ｛HI6+｝｛V+｝
印顺大和尚 ｛V+｝
尼玛琼拉 ｛V+｝
杨万里 ｛X6+｝｛V+｝
杨发明 ｛HI5+｝
杨冠军 ｛V+｝
吴理之 ｛V+｝
张克运 ｛V+｝
张金涛 ｛V+｝
阿不都热克甫·吐木尼牙孜 ｛V+｝
阿地里江·阿吉克力木 ｛X5+｝｛V+｝
昌善 ｛HI7+｝｛V+｝
帕巴拉·格列朗杰 ｛X5+｝｛V+｝
宗性 ｛HI5+｝
徐晓鸿 ｛V+｝
郭金才 ｛X5+｝
桑杰·嘉措 ｛X5+｝
释演觉 ｛V+｝
第九世赛赤·确吉洛智嘉措 ｛X5+｝｛V+｝
潘兴旺 ｛HI5+｝
王育民 ｛V+｝
邓清河 ｛V+｝
卢业樑 ｛HI5+｝
叶建明 ｛HI5+｝
吕耀东 ｛HI6+｝
孙煜 ｛V+｝
苏绍聪 ｛V+｝
苏清栋 ｛HI5+｝
连镇恩 ｛HI5+｝
吴良好 ｛V+｝
吴杰庄 ｛V+｝
吴辉体 ｛HI5+｝｛V+｝
佘德聪 ｛X5+｝
陈冯富珍 ｛X7+｝
邵家辉 ｛HI5+｝
范骏华 ｛V+｝
罗卓坚 ｛HI6+｝
郑志刚 ｛HI5+｝｛V+｝
孟丽红 ｛V+｝
赵柏基 ｛X5+｝
施清流 ｛X5+｝
唐英年 ｛V+｝
黄若虹 ｛V+｝
龚俊龙 ｛X6+｝
梁志祥 ｛HI5+｝｛V+｝
屠海鸣 ｛HI5+｝
彭耀佳 ｛V+｝
董吴玲玲 ｛V+｝
释宽运 ｛X5+｝
詹洪良 ｛HI6+｝
蔡加赞 ｛X5+｝｛V+｝
蔡冠深 ｛HI5+｝
蔡黄玲玲 ｛V+｝
樊敏华 ｛X7+｝
刘雅煌 ｛V+｝
吴士芳 ｛HI7+｝
何猷龙 ｛V+｝
何嘉伦 ｛HI5+｝
张宗真 ｛X5+｝
陈明金 ｛V+｝
欧安利 ｛HI6+｝｛V+｝
罗奕龙 ｛HI6+｝
崔世昌 ｛HI5+｝｛V+｝
王填 ｛V+｝
王志良 ｛HI5+｝｛V+｝
龙庄伟 ｛X5+｝
戎贵卿 ｛X5+｝
任清华 ｛V+｝
刘念光 ｛HI6+｝
汤晓鸥 ｛X5+｝
祁发宝 ｛V+｝
杨光跃 ｛V+｝
张平 ｛V+｝
张忠凯 ｛V+｝
张海华 ｛X5+｝
郑堆 ｛HI6+｝
洪捷序 ｛HI5+｝｛V+｝
姚丹江 ｛HI6+｝｛V+｝
姚永良 ｛V+｝
袁亚湘 ｛V+｝
贾育林 ｛V+｝
徐士龙 ｛HI5+｝
郭基煇 ｛V+｝
桑顶·多吉帕姆·德庆曲珍 ｛V+｝
桑福华 ｛V+｝
黄国显 ｛V+｝
傅建国 ｛HI6+｝
谢红 ｛V+｝
魏钢 ｛V+｝
李飞 ｛X5+｝
丁学东 ｛V+｝
庹震 ｛HI5+｝
傅奎 ｛X5+｝
王奕 ｛X7+｝
李健 ｛X5+｝
吴英杰 ｛HI6+｝
唐一军 ｛X5+｝
肖龙旭 ｛X5+｝
李民吉 ｛V+｝
景亚萍 ｛V+｝
陈小江 ｛X6+｝
何晓勇 ｛HI6+｝
俞培根 ｛HI5+｝｛V+｝
刘国跃 ｛V+｝
曹建国 ｛X6+｝
王春儒 ｛HI5+｝
杨晖 ｛X6+｝｛V+｝
刘雷 ｛V+｝
韩卫国 ｛HI5+｝
何松 ｛X5+｝
胡诚林 ｛V+｝
彭纯 ｛HI6+｝
辛保安 ｛V+｝
郝戎 ｛HI6+｝
杨小伟 ｛X5+｝
卢进 ｛HI5+｝
... ...
